X,Y,id,left,top,right,bottom,sent_compound_count,sent_compound_mean
1373332.6895177,5688982.84198866,222,1373307.6895177,5689007.84198866,1373357.6895177,5688957.84198866,,0.0
1373332.6895177,5688932.84198866,223,1373307.6895177,5688957.84198866,1373357.6895177,5688907.84198866,,0.0
1373332.6895177,5688882.84198866,224,1373307.6895177,5688907.84198866,1373357.6895177,5688857.84198866,,0.0
1373382.6895177,5691632.84198866,225,1373357.6895177,5691657.84198866,1373407.6895177,5691607.84198866,,0.0
1373382.6895177,5691582.84198866,226,1373357.6895177,5691607.84198866,1373407.6895177,5691557.84198866,,0.0
1373382.6895177,5691532.84198866,227,1373357.6895177,5691557.84198866,1373407.6895177,5691507.84198866,,0.0
1373382.6895177,5691482.84198866,228,1373357.6895177,5691507.84198866,1373407.6895177,5691457.84198866,,0.0
1373382.6895177,5691432.84198866,229,1373357.6895177,5691457.84198866,1373407.6895177,5691407.84198866,,0.0
1373382.6895177,5691382.84198866,230,1373357.6895177,5691407.84198866,1373407.6895177,5691357.84198866,,0.0
1373382.6895177,5691332.84198866,231,1373357.6895177,5691357.84198866,1373407.6895177,5691307.84198866,,0.0
1373382.6895177,5691282.84198866,232,1373357.6895177,5691307.84198866,1373407.6895177,5691257.84198866,1.0,0.8357
1373382.6895177,5691232.84198866,233,1373357.6895177,5691257.84198866,1373407.6895177,5691207.84198866,3.0,0.761856
1373382.6895177,5691182.84198866,234,1373357.6895177,5691207.84198866,1373407.6895177,5691157.84198866,1.0,0.912317
1373382.6895177,5691132.84198866,235,1373357.6895177,5691157.84198866,1373407.6895177,5691107.84198866,1.0,0.859557
1373382.6895177,5691082.84198866,236,1373357.6895177,5691107.84198866,1373407.6895177,5691057.84198866,,0.0
1373382.6895177,5691032.84198866,237,1373357.6895177,5691057.84198866,1373407.6895177,5691007.84198866,1.0,0.55476
1373382.6895177,5690982.84198866,238,1373357.6895177,5691007.84198866,1373407.6895177,5690957.84198866,1.0,0.964715
1373382.6895177,5690932.84198866,239,1373357.6895177,5690957.84198866,1373407.6895177,5690907.84198866,,0.0
1373382.6895177,5690882.84198866,240,1373357.6895177,5690907.84198866,1373407.6895177,5690857.84198866,2.0,0.745144
1373382.6895177,5690832.84198866,241,1373357.6895177,5690857.84198866,1373407.6895177,5690807.84198866,,0.0
1373382.6895177,5690782.84198866,242,1373357.6895177,5690807.84198866,1373407.6895177,5690757.84198866,,0.0
1373382.6895177,5690732.84198866,243,1373357.6895177,5690757.84198866,1373407.6895177,5690707.84198866,1.0,0.926671
1373382.6895177,5690682.84198866,244,1373357.6895177,5690707.84198866,1373407.6895177,5690657.84198866,1.0,0.266667
1373382.6895177,5690632.84198866,245,1373357.6895177,5690657.84198866,1373407.6895177,5690607.84198866,1.0,0.884633
1373382.6895177,5690582.84198866,246,1373357.6895177,5690607.84198866,1373407.6895177,5690557.84198866,,0.0
1373382.6895177,5690532.84198866,247,1373357.6895177,5690557.84198866,1373407.6895177,5690507.84198866,,0.0
